user_id,movie_id,rating
23,949,3
102,949,3
232,949,2
242,949,4
263,949,3
311,949,3
363,949,3
387,949,4
452,949,4
505,949,3
509,949,2
537,949,3
547,949,3
558,949,3
564,949,3
647,949,3
358,710,2
390,710,2
7,1408,2
11,1408,4
19,1408,3
23,1408,3
57,1408,3
63,1408,4
73,1408,3
111,1408,4
212,1408,3
232,1408,4
237,1408,2
245,1408,3
263,1408,4
275,1408,4
276,1408,3
280,1408,3
306,1408,3
311,1408,4
353,1408,3
384,1408,3
388,1408,4
408,1408,3
463,1408,3
466,1408,4
468,1408,2
480,1408,4
493,1408,2
509,1408,3
522,1408,3
529,1408,2
534,1408,3
537,1408,3
564,1408,3
573,1408,3
575,1408,3
577,1408,3
580,1408,3
596,1408,3
603,1408,4
607,1408,3
624,1408,2
658,1408,4
665,1408,3
8,524,2
13,524,3
15,524,2
36,524,3
43,524,3
49,524,3
67,524,3
117,524,3
125,524,3
146,524,3
165,524,3
166,524,3
168,524,3
170,524,2
182,524,4
187,524,3
210,524,3
253,524,4
282,524,4
294,524,3
306,524,3
308,524,3
311,524,2
351,524,4
388,524,3
414,524,3
416,524,3
452,524,2
468,524,3
487,524,4
496,524,4
547,524,2
604,524,4
607,524,3
637,524,4
665,524,3
293,4584,4
15,5,4
18,5,3
44,5,3
55,5,3
69,5,4
70,5,4
85,5,3
98,5,3
110,5,3
111,5,3
113,5,4
127,5,3
134,5,2
140,5,4
150,5,2
154,5,3
162,5,3
182,5,3
196,5,3
212,5,2
223,5,3
235,5,4
239,5,3
241,5,2
256,5,3
284,5,3
292,5,3
294,5,3
306,5,2
313,5,3
318,5,3
329,5,3
344,5,2
345,5,2
358,5,2
381,5,3
382,5,3
389,5,3
431,5,4
452,5,3
457,5,2
514,5,2
516,5,3
518,5,3
543,5,3
548,5,3
562,5,3
564,5,3
590,5,3
621,5,4
624,5,3
640,5,3
641,5,3
650,5,3
654,5,3
665,5,3
132,8012,4
157,8012,3
236,8012,4
648,8012,3
19,451,3
30,451,3
322,451,3
518,451,2
547,451,3
564,451,3
597,451,4
19,902,3
28,902,4
37,902,2
93,902,2
98,902,4
99,902,3
102,902,3
207,902,1
212,902,3
232,902,3
292,902,3
294,902,2
306,902,3
311,902,3
342,902,3
355,902,3
358,902,4
372,902,3
378,902,3
387,902,3
406,902,4
422,902,4
431,902,3
444,902,3
452,902,3
468,902,2
472,902,3
493,902,3
509,902,3
514,902,3
518,902,3
529,902,3
537,902,4
547,902,4
569,902,3
575,902,3
577,902,4
580,902,2
587,902,3
596,902,3
605,902,3
614,902,3
620,902,4
665,902,3
19,63,3
26,63,1
70,63,3
73,63,3
95,63,3
285,63,2
182,687,3
659,687,3
286,577,3
564,577,2
4,2054,3
15,2054,2
30,2054,2
43,2054,2
49,2054,2
57,2054,3
61,2054,2
69,2054,2
73,2054,3
77,2054,2
88,2054,3
118,2054,3
119,2054,2
130,2054,3
134,2054,3
137,2054,2
143,2054,2
150,2054,2
157,2054,3
165,2054,3
176,2054,2
177,2054,3
185,2054,3
195,2054,2
206,2054,3
212,2054,2
213,2054,3
220,2054,2
232,2054,3
245,2054,3
247,2054,3
248,2054,3
268,2054,3
274,2054,3
285,2054,2
294,2054,3
303,2054,3
306,2054,2
311,2054,3
323,2054,3
328,2054,3
346,2054,3
353,2054,2
358,2054,3
363,2054,3
373,2054,3
384,2054,2
417,2054,1
419,2054,3
426,2054,3
428,2054,2
432,2054,3
439,2054,3
452,2054,3
457,2054,2
463,2054,3
466,2054,3
468,2054,2
480,2054,4
500,2054,2
509,2054,2
518,2054,3
531,2054,3
561,2054,3
564,2054,3
577,2054,3
580,2054,2
582,2054,2
584,2054,2
596,2054,3
605,2054,2
607,2054,3
624,2054,3
645,2054,3
646,2054,3
665,2054,3
30,4482,3
105,4482,3
452,4482,2
609,4482,2
436,755,2
18,880,2
19,880,2
70,880,3
73,880,2
75,880,2
119,880,3
177,880,2
311,880,1
349,880,3
380,880,2
384,880,2
390,880,2
396,880,3
463,880,2
468,880,2
488,880,4
507,880,3
514,880,2
543,880,3
551,880,3
564,880,3
580,880,2
624,880,2
646,880,2
659,880,2
624,8447,2
4,2086,4
294,2045,3
452,2045,3
493,2045,3
518,2045,3
534,2045,3
49,688,3
85,688,2
105,688,2
119,688,2
182,688,3
239,688,2
453,688,3
534,688,2
624,688,2
653,688,3
224,103,3
284,103,3
434,103,3
564,103,4
529,2074,3
73,27793,2
563,27793,2
86,568,3
321,568,3
219,414,3
247,414,3
306,414,3
311,414,2
358,414,2
468,414,2
518,414,3
23,1873,3
30,1873,4
178,1873,2
212,1873,3
304,1873,3
406,1873,3
407,1873,4
408,1873,4
431,1873,3
564,1873,3
569,1873,3
585,1873,3
625,1873,3
165,8839,2
313,8963,1
207,26564,1
547,26564,3
156,1572,4
545,1572,4
564,1572,3
17,8973,3
23,8973,3
255,8973,4
283,8973,3
299,8973,3
427,8973,3
481,8973,4
648,8973,3
358,1642,2
452,1642,3
564,1642,3
581,1642,1
19,281,3
30,281,3
117,281,3
121,281,4
195,281,3
265,281,4
311,281,2
434,281,4
452,281,3
460,281,4
496,281,4
509,281,4
510,281,3
533,281,3
536,281,3
537,281,3
547,281,3
659,281,3
15,3512,3
117,3512,4
190,3512,3
196,3512,3
242,3512,4
294,3512,4
311,3512,3
351,3512,3
412,3512,2
418,3512,3
452,3512,3
465,3512,3
468,3512,2
529,3512,3
547,3512,2
558,3512,4
569,3512,3
598,3512,3
652,3512,3
73,26258,4
81,26258,4
299,26258,4
481,26258,3
547,26258,2
18,76,3
39,76,3
70,76,3
77,76,3
92,76,3
159,76,3
177,76,2
284,76,3
293,76,3
361,76,3
396,76,3
484,76,4
548,76,3
564,76,3
650,76,3
518,2292,3
6,1909,3
15,1909,2
22,1909,3
57,1909,2
73,1909,3
88,1909,1
95,1909,3
99,1909,3
101,1909,3
118,1909,3
130,1909,2
148,1909,3
150,1909,3
177,1909,4
197,1909,4
271,1909,2
276,1909,2
285,1909,3
290,1909,4
309,1909,2
321,1909,2
355,1909,3
380,1909,3
384,1909,3
388,1909,3
407,1909,3
408,1909,4
412,1909,3
422,1909,2
439,1909,3
452,1909,3
455,1909,3
461,1909,2
463,1909,2
468,1909,2
504,1909,2
521,1909,3
547,1909,3
562,1909,4
574,1909,2
580,1909,3
594,1909,3
597,1909,3
621,1909,4
648,1909,2
654,1909,3
664,1909,3
15,8984,2
23,8984,3
73,8984,2
157,8984,2
165,8984,2
200,8984,3
212,8984,3
311,8984,3
313,8984,3
316,8984,3
365,8984,3
371,8984,3
378,8984,1
380,8984,2
384,8984,2
402,8984,3
417,8984,4
418,8984,3
423,8984,2
452,8984,2
457,8984,3
473,8984,2
475,8984,2
478,8984,4
522,8984,2
544,8984,3
547,8984,2
561,8984,3
574,8984,3
596,8984,3
607,8984,3
611,8984,3
615,8984,3
624,8984,2
30,4954,3
111,4954,2
331,4954,2
367,4954,3
547,4954,2
19,522,3
73,522,3
105,522,3
143,522,2
344,522,3
391,522,4
408,522,3
472,522,3
510,522,2
188,1024,3
294,1024,3
363,1024,3
564,1024,3
8,628,3
15,628,2
18,628,3
19,628,3
30,628,4
44,628,3
67,628,3
70,628,4
73,628,4
96,628,3
128,628,4
177,628,4
187,628,3
210,628,3
214,628,3
216,628,3
223,628,3
224,628,3
235,628,4
242,628,3
256,628,3
284,628,4
292,628,3
295,628,3
306,628,3
310,628,3
311,628,3
330,628,3
360,628,3
361,628,3
380,628,3
383,628,3
390,628,2
407,628,3
431,628,4
434,628,3
452,628,3
459,628,3
461,628,3
463,628,3
490,628,3
518,628,3
523,628,4
534,628,3
547,628,3
548,628,3
564,628,4
596,628,3
641,628,3
652,628,3
15,11,2
19,11,3
23,11,3
30,11,3
57,11,4
58,11,4
59,11,2
63,11,3
68,11,3
86,11,2
88,11,3
92,11,3
93,11,3
95,11,3
105,11,3
110,11,4
111,11,3
121,11,3
125,11,3
161,11,3
182,11,4
219,11,3
232,11,3
235,11,3
239,11,3
242,11,4
247,11,3
249,11,3
268,11,3
280,11,3
292,11,4
294,11,3
306,11,3
311,11,4
312,11,3
319,11,3
354,11,4
358,11,3
380,11,2
382,11,4
385,11,3
387,11,3
390,11,4
396,11,3
402,11,4
416,11,3
421,11,4
433,11,2
447,11,3
452,11,3
461,11,2
463,11,3
468,11,2
472,11,3
487,11,3
491,11,3
493,11,3
496,11,3
508,11,3
509,11,3
511,11,3
517,11,4
518,11,4
534,11,3
535,11,3
537,11,3
547,11,3
548,11,3
550,11,3
562,11,3
564,11,3
569,11,4
575,11,3
597,11,3
598,11,3
602,11,3
605,11,3
639,11,3
641,11,3
650,11,4
654,11,4
667,11,3
73,3036,3
388,3036,4
510,3036,2
564,3036,4
294,8986,3
15,1945,3
23,1945,4
28,1945,4
30,1945,3
99,1945,3
102,1945,4
236,1945,4
242,1945,4
257,1945,3
265,1945,4
287,1945,4
311,1945,3
358,1945,4
376,1945,4
387,1945,4
431,1945,4
436,1945,4
452,1945,3
468,1945,3
505,1945,3
509,1945,3
533,1945,3
547,1945,4
558,1945,4
575,1945,3
580,1945,3
585,1945,4
587,1945,3
647,1945,4
396,241,3
472,241,2
536,241,4
564,241,4
2,527,3
3,527,3
8,527,4
9,527,4
13,527,3
15,527,3
16,527,3
17,527,3
19,527,3
20,527,2
21,527,4
23,527,3
27,527,4
30,527,4
31,527,4
34,527,3
36,527,4
38,527,4
42,527,4
43,527,4
48,527,4
50,527,3
56,527,3
57,527,4
59,527,4
68,527,3
69,527,4
72,527,3
73,527,4
74,527,4
75,527,3
85,527,2
86,527,4
88,527,3
91,527,4
92,527,3
94,527,4
96,527,3
97,527,2
99,527,3
101,527,4
102,527,3
107,527,4
110,527,3
111,527,3
117,527,3
118,527,4
119,527,4
121,527,4
122,527,3
124,527,4
128,527,4
129,527,4
130,527,3
138,527,3
143,527,3
144,527,3
147,527,4
151,527,4
155,527,4
157,527,3
159,527,4
160,527,3
163,527,4
165,527,3
169,527,4
172,527,3
180,527,3
183,527,3
184,527,3
185,527,4
188,527,4
192,527,4
193,527,4
194,527,4
195,527,3
199,527,4
200,527,4
201,527,3
211,527,4
212,527,4
214,527,4
215,527,3
219,527,3
220,527,4
232,527,3
235,527,2
236,527,3
238,527,3
240,527,4
242,527,4
243,527,3
244,527,4
245,527,4
247,527,4
248,527,4
250,527,4
262,527,3
264,527,4
265,527,3
266,527,4
268,527,4
279,527,4
281,527,4
282,527,4
283,527,4
285,527,4
288,527,4
292,527,4
294,527,3
295,527,4
303,527,3
304,527,1
306,527,4
307,527,4
309,527,4
311,527,4
312,527,4
313,527,4
320,527,3
323,527,4
324,527,3
330,527,4
331,527,4
333,527,4
336,527,4
338,527,4
339,527,4
342,527,4
344,527,3
345,527,4
346,527,2
347,527,4
354,527,4
355,527,3
358,527,4
359,527,3
363,527,4
369,527,4
370,527,3
373,527,3
376,527,4
378,527,3
379,527,4
384,527,3
385,527,3
386,527,4
387,527,3
388,527,4
391,527,4
394,527,1
400,527,3
407,527,3
410,527,1
411,527,4
419,527,4
425,527,4
426,527,4
431,527,4
433,527,4
434,527,3
435,527,3
438,527,4
439,527,3
442,527,4
450,527,4
452,527,3
458,527,3
461,527,3
463,527,4
466,527,4
471,527,3
472,527,3
481,527,3
487,527,4
494,527,4
495,527,4
497,527,4
503,527,3
505,527,3
508,527,4
509,527,4
510,527,2
513,527,4
516,527,4
517,527,4
519,527,2
520,527,4
521,527,4
522,527,3
529,527,4
530,527,4
537,527,4
539,527,3
544,527,4
547,527,4
550,527,4
552,527,3
554,527,4
555,527,3
559,527,4
560,527,4
561,527,3
562,527,3
563,527,3
564,527,3
570,527,2
572,527,3
573,527,4
578,527,3
580,527,3
584,527,4
585,527,4
586,527,3
587,527,4
588,527,4
590,527,3
592,527,3
594,527,4
596,527,4
598,527,3
602,527,4
603,527,4
608,527,3
614,527,3
615,527,4
617,527,4
621,527,4
623,527,4
625,527,4
627,527,3
629,527,3
635,527,2
644,527,4
647,527,4
649,527,3
654,527,4
658,527,4
659,527,3
661,527,4
662,527,4
665,527,4
666,527,3
670,527,4
452,6950,2
15,101,3
19,101,3
56,101,3
73,101,3
83,101,3
119,101,2
143,101,4
275,101,4
309,101,4
388,101,3
408,101,3
434,101,4
461,101,3
472,101,3
509,101,4
580,101,3
624,101,3
30,2307,3
15,680,2
17,680,4
255,680,3
408,680,4
481,680,3
564,680,3
2,110,3
3,110,3
7,110,4
8,110,3
13,110,3
15,110,3
19,110,3
20,110,2
23,110,3
28,110,3
30,110,4
32,110,4
34,110,3
38,110,3
39,110,4
41,110,3
42,110,3
43,110,4
47,110,4
48,110,3
50,110,3
57,110,4
64,110,3
66,110,3
67,110,4
72,110,3
73,110,3
74,110,4
77,110,3
78,110,2
82,110,4
84,110,3
85,110,4
86,110,3
89,110,4
91,110,4
92,110,4
94,110,4
97,110,2
99,110,3
104,110,4
105,110,3
108,110,3
111,110,3
119,110,4
121,110,4
124,110,4
128,110,4
130,110,3
133,110,2
134,110,3
139,110,3
145,110,3
150,110,4
151,110,3
152,110,1
153,110,3
155,110,3
159,110,3
163,110,3
164,110,3
165,110,4
168,110,3
171,110,4
178,110,3
182,110,4
185,110,3
188,110,4
